Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.4242	424.3	4.13	-0.05	12.15	-1.85
0.425	425.1	3.73	-0.41	11.43	-2.57
0.426	426.1	4.88	-0.71	10.82	-3.18
0.4268	426.9	4.70	-0.91	10.44	-3.56
0.4278	427.9	4.65	-1.15	9.95	-4.05
0.4288	428.9	4.79	-1.09	10.07	-3.93
0.4296	429.7	4.56	-1.02	10.22	-3.78
0.4304	430.5	4.67	-1.17	9.91	-4.09
0.4312	431.3	4.45	-1.19	9.87	-4.13
0.4321	432.2	5.18	-1.25	9.75	-4.25
0.4331	433.2	4.86	-1.41	9.43	-4.57
0.4341	434.2	4.76	-1.44	9.36	-4.64
0.4349	435.0	5.21	-1.36	9.53	-4.47
0.4361	436.2	4.57	-1.31	9.63	-4.37
0.4372	437.3	4.90	-1.39	9.46	-4.54
0.438	438.1	4.68	-1.30	9.65	-4.35
0.439	439.1	5.05	-1.21	9.83	-4.17
0.4401	440.2	4.89	-1.15	9.95	-4.05
0.4413	441.4	4.27	-1.19	9.86	-4.14
0.4421	442.2	4.69	-1.09	10.06	-3.94
0.4431	443.2	4.83	-0.96	10.33	-3.67
0.444	444.1	4.71	-1.07	10.12	-3.88
0.4451	445.2	4.43	-1.10	10.06	-3.94
0.4459	446.0	4.63	-1.02	10.21	-3.79
0.4471	447.2	4.80	-0.88	10.48	-3.52
0.4485	448.6	4.56	-1.05	10.14	-3.86
0.4498	449.9	4.25	-1.04	10.17	-3.83
0.4509	451.0	5.01	-0.88	10.48	-3.52
0.4521	452.2	4.58	-0.75	10.75	-3.25
0.453	453.1	4.27	-0.65	10.95	-3.05
0.4536	453.7	4.11	-0.59	11.06	-2.94
0.4544	454.5	3.91	-0.60	11.05	-2.95
0.4554	455.5	4.81	-0.53	11.19	-2.81
0.4566	456.7	4.61	-0.54	11.16	-2.84
0.4577	457.8	4.03	-0.73	10.79	-3.21
0.4589	459.0	4.15	-0.72	10.82	-3.18
0.46	460.1	4.54	-0.65	10.96	-3.04
